City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Road Town,VG,86.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
285,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
290,Ninghai,CN,77.47,broken clouds,29.2892,121.4247,Kaiyuan New Century Hotel
291,Dauphin,CA,78.94,scattered clouds,51.1494,-100.0502,Canway Inn & Suites
294,Nakhon Phanom,TH,73.89,scattered clouds,17.3333,104.4167,ป่ายางรีสอร์ท
300,Sur,OM,88.43,broken clouds,22.5667,59.5289,Sur Plaza Hotel
301,Zhezkazgan,KZ,70.52,clear sky,47.8043,67.7144,Hotel Zumrat
304,Robertsport,LR,74.52,moderate rain,6.7533,-11.3686,Kwepunha Retreat
305,Lucapa,AO,71.56,overcast clouds,-8.4192,20.7447,Lírio Mendes
310,Harfleur,FR,70.75,clear sky,49.5066,0.1983,Zenitude Hôtel-Résidences - Le Havre
313,Mayo,US,81.07,clear sky,38.8876,-76.5119,Resorts Resource Group International
314,Sabha,LY,85.06,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
318,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
319,Salalah,OM,75.15,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
321,Jiangyou,CN,76.98,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
322,Macau,MO,82.85,few clouds,22.2006,113.5461,Grand Emperor Hotel
323,Kendari,ID,71.53,broken clouds,-3.945,122.4989,Hotel Wixel
331,Kantunilkin,MX,84.04,broken clouds,21.0917,-87.45,Posada Paraiso
332,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
337,Sidi Ali,DZ,78.73,overcast clouds,36.0998,0.4206,Ain Taousna
339,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
340,Cedar City,US,78.4,overcast clouds,37.6775,-113.0619,Hampton Inn Cedar City
345,Mandan,US,83.41,clear sky,46.8267,-100.8896,Twin City Estates
346,Ankang,CN,80.89,overcast clouds,32.68,109.0172,安琪酒店
349,Padang,ID,77.25,overcast clouds,-0.9492,100.3543,Mercure Padang
353,Ende,ID,74.17,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
355,Itanagar,IN,74.93,light rain,27.1,93.6167,Hotel Moomsie Itanagar
357,Komsomolskiy,UZ,77.72,scattered clouds,40.4272,71.7189,Ikathouse
359,Auki,SB,80.33,scattered clouds,-8.7676,160.7034,Auki Motel
361,Oswego,US,81.1,clear sky,43.4501,-76.1497,S & E Mobile Home Park
362,Los Barrios,ES,75.04,clear sky,36.1848,-5.4921,Hotel Montera Plaza
366,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
368,Ahuimanu,US,85.75,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
370,Matay,EG,83.01,clear sky,28.419,30.7792,Nag Aespen
372,San Patricio,US,79.84,heavy intensity rain,28.017,-97.5169,"Motel 6 Sinton, TX"
374,Westport,US,82.78,clear sky,41.1415,-73.3579,The Westport Inn
382,Nabire,ID,75.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
383,Zhangye,CN,70.41,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
384,Esmeraldas,BR,70.11,clear sky,-19.7625,-44.3139,Forasteiro Pousada
